Model                     T     L         Md        Rout      silicates  gs
outputs_000/output_0628  12824  2.87e+41  1.14e-02  5.71e+16  1          1.2112e-02
outputs_000/output_0629  10650  1.95e+41  1.41e-04  1.73e+17  0          2.1917e+00
outputs_000/output_0630   6342  7.62e+41  4.59e-05  9.76e+16  1          5.0266e-02
outputs_000/output_0631  12881  8.13e+41  2.47e-04  3.53e+16  1          1.9952e-02
outputs_000/output_0632   4614  4.52e+41  8.05e-02  1.04e+17  1          1.1391e-02
outputs_000/output_0633   8460  5.53e+41  3.10e-02  1.44e+17  1          3.4505e-01
outputs_000/output_0634  10221  2.57e+41  2.48e-03  1.72e+17  1          1.4353e-02
outputs_000/output_0636   6344  5.94e+41  2.83e-02  1.70e+17  0          9.1592e-03
outputs_000/output_0637   6323  5.03e+40  3.11e-05  1.88e+17  0.5        2.9858e+00
outputs_000/output_0638  11853  5.06e+41  1.47e-02  1.18e+17  1          1.2163e-01
outputs_000/output_0639   7544  4.51e+41  3.62e-04  8.35e+16  0.5        1.7499e+00
outputs_000/output_0640  11947  4.62e+41  6.21e-04  5.66e+16  1          1.8075e-02
outputs_000/output_0641   8956  5.25e+41  3.62e-02  1.09e+17  1          4.9932e-02
outputs_000/output_0642  10388  4.85e+40  2.11e-05  8.72e+16  0          4.0542e+00
outputs_000/output_0643  10933  8.12e+41  1.73e-03  5.83e+16  0          1.0027e+00
outputs_000/output_0644   7359  2.81e+41  8.22e-03  8.26e+16  0          1.3446e+00
outputs_000/output_0645   4698  7.51e+41  5.72e-04  5.31e+16  0          3.0296e+00
outputs_000/output_0646   8332  6.23e+41  3.71e-02  6.47e+16  0.5        1.3068e-01
outputs_000/output_0647   6163  6.89e+40  2.81e-02  1.85e+17  1          9.3212e-02
outputs_000/output_0648   8078  3.96e+41  2.96e-04  2.94e+16  0.5        8.1862e-01
outputs_000/output_0649   6230  4.29e+41  3.70e-02  1.08e+17  0.5        3.6503e+00
outputs_000/output_0650   9970  2.56e+41  2.20e-05  6.60e+16  0          8.0219e-02
outputs_000/output_0651  13788  7.95e+41  4.02e-05  1.36e+17  0.5        4.0754e-01
outputs_000/output_0652   5901  7.45e+41  3.39e-03  1.95e+17  0          4.6577e-01
outputs_000/output_0653   4828  6.14e+41  5.29e-03  7.90e+16  1          2.0584e+00
outputs_000/output_0654   8621  3.35e+40  1.69e-02  1.08e+17  0          2.0347e-02
outputs_000/output_0655   6136  8.46e+41  2.83e-05  1.32e+17  1          6.2408e-01
outputs_000/output_0656   8066  8.48e+41  3.75e-03  9.13e+16  1          5.1305e-02
outputs_000/output_0657   5390  8.33e+41  4.14e-04  1.50e+17  0.5        6.2733e-01
outputs_000/output_0658   9949  7.85e+41  6.74e-03  2.74e+16  0.5        7.9773e-02
outputs_000/output_0659  13283  3.87e+41  2.50e-03  9.17e+16  0.5        4.9649e-01
outputs_000/output_0660   6943  9.21e+41  1.78e-03  1.98e+17  0          1.4000e+00
outputs_000/output_0661  10655  8.73e+40  1.85e-03  1.57e+17  1          1.3486e-02
outputs_000/output_0662  11486  2.43e+41  2.23e-02  9.88e+16  0.5        8.4462e-02
outputs_000/output_0663   4475  4.13e+41  2.92e-03  1.41e+17  0.5        1.9247e-02
outputs_000/output_0664  11232  3.56e+41  4.03e-04  2.90e+16  0          5.8750e-01
outputs_000/output_0665   9364  1.93e+41  1.46e-02  7.40e+16  0          6.0793e-01
outputs_000/output_0666   8762  7.74e+41  2.83e-04  7.77e+16  1          4.0170e-01
outputs_000/output_0667   7168  1.02e+41  2.89e-04  1.70e+17  0          1.2609e+00
outputs_000/output_0668   4719  4.10e+41  1.64e-02  1.08e+17  0          7.9174e-03
outputs_000/output_0669   5686  9.94e+41  1.71e-02  6.89e+16  0.5        6.8879e-01
outputs_000/output_0670   8662  9.07e+41  8.11e-05  1.53e+17  0          5.4555e-02
outputs_000/output_0671   5877  8.18e+41  1.32e-04  5.95e+16  0.5        1.0507e-01
outputs_000/output_0672   6754  8.65e+41  2.41e-04  1.26e+17  0.5        4.0448e-02
outputs_000/output_0673   7869  7.81e+41  2.44e-03  8.39e+16  0.5        1.7609e-01
outputs_000/output_0674   5828  9.63e+40  5.14e-02  1.89e+17  0.5        1.9580e-02
outputs_000/output_0675   6104  1.04e+41  1.90e-03  4.47e+16  1          7.6340e-02
outputs_000/output_0676  12741  1.35e+41  4.89e-05  1.06e+17  1          1.6337e+00
outputs_000/output_0677   8329  5.52e+41  4.83e-05  1.08e+17  0.5        4.8774e+00
outputs_000/output_0678  11516  6.13e+41  1.77e-04  1.44e+17  1          1.0139e-02
outputs_000/output_0680   5347  2.44e+41  5.79e-04  1.85e+17  0.5        4.2626e+00
outputs_000/output_0681   9499  8.72e+41  2.29e-05  4.67e+16  0.5        3.6569e-02
outputs_000/output_0682  13250  1.80e+41  1.53e-04  1.38e+17  0          4.1027e-02
outputs_000/output_0683  11104  5.08e+41  5.56e-03  1.29e+17  0          5.1913e-03
outputs_000/output_0684   7031  4.10e+41  1.48e-03  1.15e+16  0          3.0150e+00
outputs_000/output_0685   9148  1.52e+41  3.16e-02  9.67e+16  0          1.3095e+00
outputs_000/output_0686   8803  1.01e+41  2.70e-04  6.38e+16  1          3.3090e-02
outputs_000/output_0687  13060  4.34e+41  4.09e-03  1.66e+17  0          1.0012e-02
outputs_000/output_0688   5511  3.76e+41  2.02e-03  1.42e+17  0          1.6070e-02
outputs_000/output_0689   9485  6.97e+41  4.75e-05  1.29e+17  0          1.4305e-01
outputs_000/output_0690   5612  6.20e+41  5.11e-02  1.62e+17  1          2.2574e-02
outputs_000/output_0691   9689  1.03e+41  8.18e-05  1.48e+17  0.5        1.6517e+00
outputs_000/output_0692   5345  4.32e+41  2.43e-05  1.89e+17  0          6.7996e-02
outputs_000/output_0693   8839  6.04e+40  2.75e-05  5.32e+16  1          1.3576e-02
outputs_000/output_0694  12852  9.34e+41  1.52e-02  4.54e+16  0.5        9.9816e-03
outputs_000/output_0695   6674  7.59e+41  9.38e-02  1.34e+17  0.5        1.9900e-01
outputs_000/output_0696   7957  5.74e+41  1.10e-03  1.46e+17  1          8.6972e-02
outputs_000/output_0697  12772  2.74e+41  7.21e-04  8.99e+16  0          1.0645e-02
outputs_000/output_0698   4492  8.24e+41  2.31e-03  1.31e+17  0.5        2.8227e+00
outputs_000/output_0699  12865  4.13e+41  2.74e-04  1.93e+17  1          5.6526e-01
outputs_000/output_0700   8871  8.99e+41  7.50e-02  1.20e+17  1          1.6754e-02
outputs_000/output_0701   6617  1.40e+41  1.02e-04  4.82e+16  0          2.9083e-01
outputs_000/output_0702   6352  1.26e+41  3.05e-04  1.36e+17  0.5        4.0626e-02
outputs_000/output_0703   5513  1.92e+41  2.72e-05  2.27e+16  0          5.7187e-03
outputs_000/output_0704   4109  4.31e+41  5.57e-05  6.30e+16  0          4.0188e+00
outputs_000/output_0705  12488  4.48e+41  1.09e-04  5.92e+16  1          1.0254e-01
outputs_000/output_0706   5999  2.60e+41  1.54e-05  9.93e+16  0          6.4030e-03
outputs_000/output_0707   7560  2.94e+40  1.29e-03  1.35e+17  1          4.3872e-01
outputs_000/output_0708   8577  5.88e+41  2.99e-05  1.19e+17  0.5        8.3639e-03
outputs_000/output_0709   8949  7.47e+41  7.59e-02  8.84e+16  0.5        1.7103e+00
outputs_000/output_0710   7024  3.11e+41  1.06e-05  2.00e+17  1          1.0013e+00
outputs_000/output_0711  11016  6.75e+41  6.81e-04  1.02e+17  0          8.3437e-01
outputs_000/output_0712  13305  4.54e+41  6.35e-02  1.06e+17  1          2.2965e+00
outputs_000/output_0713  12361  4.88e+41  7.92e-03  8.78e+16  0.5        1.8701e-02
outputs_000/output_0715  12328  1.76e+41  1.37e-04  9.69e+16  0          3.3020e+00
outputs_000/output_0716   4400  3.17e+41  4.35e-05  2.19e+16  1          3.1362e+00
outputs_000/output_0718   9617  8.09e+41  9.41e-04  4.05e+16  0          7.2100e-02
outputs_000/output_0719   9580  3.08e+41  9.41e-02  8.67e+16  0.5        8.7472e-02
outputs_000/output_0720  11335  3.72e+41  8.77e-05  1.00e+17  1          1.9160e-01
outputs_000/output_0721   4335  6.18e+40  5.53e-03  1.67e+17  1          5.6648e-03
outputs_000/output_0722   9454  7.32e+41  3.46e-02  6.56e+16  0.5        2.7351e-02
outputs_000/output_0723  10285  2.04e+41  1.73e-05  3.88e+16  0.5        8.2606e-03
outputs_000/output_0724   9207  6.20e+41  1.21e-02  1.88e+17  1          3.5345e-02
outputs_000/output_0725  12411  6.91e+41  1.75e-04  1.24e+17  0.5        4.4721e+00
outputs_000/output_0726  13354  3.41e+41  4.98e-03  5.23e+16  0          5.0669e-01
outputs_000/output_0727  13332  5.30e+41  5.01e-05  3.73e+16  0.5        1.8630e+00
outputs_000/output_0728   9148  8.62e+41  2.35e-05  1.10e+17  0          7.2703e-01
outputs_000/output_0729  10885  2.52e+41  1.15e-05  1.41e+17  0          2.2074e+00
outputs_000/output_0730  12475  9.61e+41  6.89e-02  1.36e+17  0          4.0396e-01
outputs_000/output_0732  11000  4.23e+41  3.28e-02  1.54e+17  0          5.7055e-03
outputs_000/output_0733  12536  1.89e+41  4.32e-05  1.80e+17  1          1.3426e-01
outputs_000/output_0734   6508  5.91e+41  3.46e-03  1.79e+17  0.5        1.3361e-02
outputs_000/output_0736  10821  3.79e+40  3.62e-04  5.14e+16  0          5.1955e-02
outputs_000/output_0737  10424  8.88e+41  4.85e-02  1.10e+17  1          1.4358e+00
outputs_000/output_0738   9103  1.15e+41  9.53e-04  6.26e+16  0.5        1.1842e-01
outputs_000/output_0739   9317  6.59e+41  9.85e-05  9.38e+16  1          5.2320e-02
outputs_000/output_0740  13126  1.97e+41  3.65e-04  2.30e+16  0.5        1.4846e+00
outputs_000/output_0741   5748  8.53e+41  3.59e-04  7.74e+16  0.5        3.2494e-02
outputs_000/output_0742   8244  8.53e+41  5.49e-03  5.70e+16  0          9.8911e-01
outputs_000/output_0743  11474  5.92e+41  5.52e-05  1.19e+17  0.5        9.9821e-02
outputs_000/output_0744  13700  6.79e+41  7.18e-05  5.45e+16  0.5        5.0283e-01
outputs_000/output_0745   5437  8.30e+41  1.60e-02  1.64e+17  0          1.7823e-01
outputs_000/output_0746   8658  2.99e+40  9.01e-04  1.34e+17  1          2.7989e+00
outputs_000/output_0748   7103  7.42e+41  1.38e-05  9.51e+16  0.5        5.3704e-02
outputs_000/output_0749   4781  8.12e+41  6.28e-02  6.24e+16  0.5        4.2587e-02
outputs_000/output_0750  13324  4.16e+41  1.06e-05  1.91e+17  1          2.4036e+00
outputs_000/output_0751  11624  9.44e+39  2.86e-05  1.90e+17  0.5        4.0857e-02
outputs_000/output_0752  10433  6.32e+41  8.56e-04  8.45e+16  0.5        6.1256e-02
outputs_000/output_0753   5110  7.21e+41  6.13e-02  1.59e+17  0          6.5322e-03
outputs_000/output_0754   6150  2.07e+41  9.19e-02  1.12e+17  1          2.7275e+00
outputs_000/output_0755  12290  8.70e+41  1.40e-02  5.78e+16  0          9.3499e-01
outputs_000/output_0756   9141  6.54e+41  1.49e-05  2.97e+16  0.5        1.9891e-01
outputs_000/output_0757  10480  3.83e+41  1.77e-05  9.04e+16  0.5        1.0911e-02
outputs_000/output_0759   8290  3.75e+40  8.89e-04  7.87e+16  0.5        6.8521e-01
outputs_000/output_0760   5541  4.94e+41  4.08e-04  1.32e+17  1          2.9287e+00
outputs_000/output_0761  12692  6.74e+41  6.34e-02  1.91e+17  0.5        4.2651e+00
outputs_000/output_0762  13076  6.89e+41  2.81e-04  5.19e+16  0.5        1.1318e-01
outputs_000/output_0763   8847  6.51e+41  5.87e-04  6.11e+16  0          4.4608e-02
outputs_000/output_0764   7648  7.93e+40  8.20e-03  1.92e+17  0          2.7688e+00
outputs_000/output_0765   7717  1.45e+41  2.84e-04  1.64e+16  0.5        2.5355e+00
outputs_000/output_0766   8321  3.26e+41  4.29e-04  1.87e+16  1          3.8326e-02
outputs_000/output_0767   4421  5.21e+41  4.49e-05  1.08e+17  0.5        2.9812e-02
outputs_000/output_0768   7378  7.71e+41  1.87e-04  1.98e+17  0.5        1.0326e-01
outputs_000/output_0769   4143  3.58e+41  5.42e-05  1.91e+17  0.5        4.3321e-01
outputs_000/output_0770  13302  8.67e+41  3.20e-02  1.96e+17  0          2.3777e-01
outputs_000/output_0771  10949  5.56e+41  8.81e-05  1.50e+17  0.5        2.2722e+00
outputs_000/output_0772   6336  9.43e+41  1.41e-03  1.78e+17  0          1.7871e-01
outputs_000/output_0773  11794  5.84e+41  9.75e-04  1.86e+17  0          4.4139e+00
outputs_000/output_0774  11942  5.77e+41  1.91e-03  1.85e+17  1          6.0931e-01
outputs_000/output_0775  10206  1.01e+41  3.84e-03  9.54e+16  1          7.0360e-03
outputs_000/output_0776  13549  5.24e+41  2.65e-03  1.74e+17  0          3.6416e-02
outputs_000/output_0777   6990  4.01e+41  8.17e-02  1.89e+17  0          1.2743e-02
outputs_000/output_0778   9590  8.15e+41  3.35e-04  1.85e+16  0          3.8860e-02
outputs_000/output_0779   5216  8.81e+41  2.16e-03  6.79e+16  1          2.1896e-02
outputs_000/output_0780  13292  6.72e+41  1.60e-03  6.33e+16  0.5        6.3801e-02
outputs_000/output_0781   7896  9.60e+41  1.54e-03  3.13e+16  1          1.2733e-01
outputs_000/output_0782  12887  4.62e+41  6.81e-03  1.06e+17  1          9.8654e-01
outputs_000/output_0783   9701  3.06e+41  5.94e-03  1.35e+17  1          7.2208e-02
outputs_000/output_0784  10234  1.67e+41  1.32e-04  1.46e+16  0          7.2054e-03
outputs_000/output_0785  11439  8.57e+41  1.00e-04  1.96e+17  0          1.3614e-01
outputs_000/output_0786   5670  6.74e+41  6.67e-05  5.69e+16  0.5        1.0945e-02
outputs_000/output_0787   7590  6.90e+41  4.82e-02  3.14e+16  0.5        6.9209e-03
outputs_000/output_0788  13386  7.10e+41  9.18e-02  1.01e+17  0.5        2.7765e+00
outputs_000/output_0789  13776  2.28e+41  3.20e-02  1.18e+17  0          1.2810e-02
outputs_000/output_0790   6114  1.15e+41  2.23e-02  1.46e+17  1          2.5874e-01
outputs_000/output_0791  10558  2.65e+41  1.89e-04  1.08e+17  1          3.0112e-01
outputs_000/output_0792   9422  9.21e+41  1.73e-02  6.10e+16  0          1.4835e-02
outputs_000/output_0793   4968  4.96e+41  9.18e-05  1.98e+17  0          1.6975e+00
outputs_000/output_0794  11094  5.08e+41  1.09e-04  1.66e+17  0          4.8602e-01
outputs_000/output_0795  12560  5.15e+41  5.98e-05  2.19e+16  1          1.1158e+00
outputs_000/output_0796  13403  7.33e+41  3.66e-04  1.50e+17  0          7.2019e-03
outputs_000/output_0797  12164  3.91e+40  3.91e-05  1.99e+17  1          6.4674e-01
outputs_000/output_0798   7399  5.00e+41  3.11e-03  1.39e+17  0.5        2.1301e-02
outputs_000/output_0799   4037  5.11e+41  4.94e-03  2.04e+16  1          7.3675e-03
outputs_000/output_0800  10326  7.48e+41  4.49e-03  1.84e+17  1          3.1049e-01
outputs_000/output_0801   6563  9.05e+41  1.00e-05  1.58e+17  0.5        6.4192e-02
outputs_000/output_0802   5816  8.40e+41  1.28e-03  1.32e+17  0.5        3.5761e+00
outputs_000/output_0803  11709  9.02e+41  1.70e-02  1.70e+17  1          6.4268e-02
outputs_000/output_0804   5001  1.16e+41  6.34e-04  1.83e+17  0.5        8.7178e-02
outputs_000/output_0805   6898  7.24e+41  1.28e-02  1.86e+17  1          2.4149e-01
outputs_000/output_0806   4857  4.36e+41  1.44e-04  1.41e+17  1          1.1319e-01
outputs_000/output_0807  11019  1.21e+41  1.83e-04  6.43e+16  0          4.8902e+00
outputs_000/output_0808   7770  6.72e+41  2.49e-04  9.34e+16  1          3.2900e+00
outputs_000/output_0809   8607  3.73e+41  2.41e-03  8.04e+16  0.5        9.6660e-03
outputs_000/output_0810   5986  9.35e+41  1.07e-03  1.90e+17  1          1.4122e-02
outputs_000/output_0811   9065  5.77e+41  1.51e-02  1.27e+17  1          7.7802e-01
outputs_000/output_0812   4120  6.01e+41  1.05e-02  1.99e+17  0.5        1.9199e+00
outputs_000/output_0814   9257  9.34e+40  3.79e-04  1.48e+17  1          6.5396e-02
outputs_000/output_0815  10642  9.10e+40  4.87e-04  1.69e+17  0.5        5.2321e-02
outputs_000/output_0816  13734  6.10e+40  6.86e-02  9.86e+16  0          2.0787e-02
outputs_000/output_0817   9405  3.97e+41  4.12e-05  1.41e+17  0.5        7.8531e-01
outputs_000/output_0819  10975  3.09e+40  4.85e-05  1.48e+17  1          5.2948e-03
outputs_000/output_0820  10604  6.25e+40  2.19e-04  4.23e+16  0.5        1.0020e-02
outputs_000/output_0821   8178  1.56e+41  2.96e-04  1.34e+17  1          3.7501e+00
outputs_000/output_0822  10254  9.79e+41  2.26e-03  1.03e+17  0.5        4.2819e-01
outputs_000/output_0823  13505  7.42e+41  1.71e-04  1.97e+17  1          7.8571e-03
outputs_000/output_0824   4897  6.25e+41  3.19e-02  8.71e+16  0          1.1152e-01
outputs_000/output_0825  10072  5.92e+40  7.61e-02  1.68e+17  0.5        2.1702e-01
outputs_000/output_0826   7890  1.35e+40  2.00e-05  1.20e+17  0          1.3398e-01
outputs_000/output_0827   8053  8.31e+41  2.38e-03  1.13e+17  0.5        3.0030e+00
outputs_000/output_0828   7418  5.91e+41  4.45e-05  1.90e+17  1          6.0313e-01
outputs_000/output_0829  13077  8.12e+40  6.44e-04  8.81e+16  1          3.9732e-01
outputs_000/output_0830   8847  7.44e+41  4.78e-05  1.31e+17  1          7.8478e-01
outputs_000/output_0831   9267  8.73e+41  2.40e-05  1.78e+17  1          7.7553e-03
outputs_000/output_0832   9835  2.61e+41  9.56e-05  1.95e+17  0.5        7.3715e-02
outputs_000/output_0833  12829  9.48e+41  5.56e-03  7.81e+16  0          9.5759e-01
outputs_000/output_0834  13020  7.29e+41  5.13e-05  1.09e+17  1          4.0067e-02
outputs_000/output_0835  10700  6.55e+40  5.73e-02  5.37e+16  0          2.8872e-01
outputs_000/output_0836   7274  2.35e+41  1.70e-04  1.07e+16  0          4.9251e-02
outputs_000/output_0837   5676  6.90e+41  2.69e-05  1.21e+17  0.5        1.5734e+00
outputs_000/output_0838  12897  5.63e+41  3.24e-02  1.71e+17  0          1.8736e-01
outputs_000/output_0839   9885  6.30e+41  2.84e-05  9.39e+16  0.5        3.7388e+00
outputs_000/output_0840   4781  8.88e+41  1.12e-04  4.87e+16  0          1.1879e+00
outputs_000/output_0841  10695  8.26e+41  1.49e-04  1.43e+17  0          3.8138e-02
outputs_000/output_0842  10322  3.48e+41  4.67e-05  1.11e+16  0.5        3.7027e-01
outputs_000/output_0843  12398  5.01e+41  7.80e-02  1.43e+17  0.5        1.3569e+00
outputs_000/output_0844   6734  7.43e+41  1.22e-05  7.99e+16  0          8.3994e-03
outputs_000/output_0845  10093  2.09e+41  2.27e-04  1.84e+17  1          2.1476e+00
outputs_000/output_0846  11115  3.57e+41  3.54e-04  1.13e+17  0          2.4986e-02
outputs_000/output_0847   5096  8.64e+41  4.46e-04  2.46e+16  0          2.8787e-02
outputs_000/output_0848   6825  9.83e+41  6.05e-04  7.60e+16  1          1.8051e-02
outputs_000/output_0849  10108  3.00e+40  6.76e-03  7.12e+16  0.5        4.8443e+00
outputs_000/output_0850   8541  9.64e+41  9.86e-05  3.65e+16  0          3.2108e-01
outputs_000/output_0851   7081  5.15e+41  8.60e-03  1.89e+17  1          9.0390e-02
outputs_000/output_0852   4882  7.62e+41  4.16e-05  1.10e+17  0.5        1.5924e+00
outputs_000/output_0853   6855  7.87e+41  6.56e-03  4.67e+16  1          3.3931e-02
outputs_000/output_0854   4377  2.06e+41  6.69e-05  5.22e+16  0.5        5.3108e-03
outputs_000/output_0855  13698  1.11e+41  1.88e-04  8.65e+16  1          3.6318e-01
outputs_000/output_0856   4588  5.27e+41  2.87e-03  6.17e+16  0.5        9.2115e-03
outputs_000/output_0857  12507  5.24e+41  2.42e-03  2.18e+16  0.5        7.0203e-01
outputs_000/output_0858   6216  5.63e+41  1.82e-03  1.40e+17  0          9.0551e-01
outputs_000/output_0859   6767  4.99e+41  2.14e-03  9.52e+16  1          6.7302e-02
outputs_000/output_0860   9126  3.47e+41  2.13e-04  1.39e+17  0.5        7.9566e-01
outputs_000/output_0861  12506  9.06e+41  6.41e-02  6.73e+16  0.5        1.9444e-01
outputs_000/output_0862   8625  1.36e+41  7.78e-02  9.59e+16  1          2.1453e+00
outputs_000/output_0863  10536  1.72e+41  1.52e-02  1.96e+17  1          1.3624e-01
outputs_000/output_0864   8393  3.49e+41  8.31e-04  1.32e+17  0          4.4699e-01
outputs_000/output_0865  12178  4.10e+41  1.74e-05  1.09e+17  1          3.0656e-01
outputs_000/output_0866   7766  3.18e+41  1.31e-03  1.40e+17  0          8.3442e-02
outputs_000/output_0867   5859  9.61e+41  1.42e-03  3.24e+16  1          1.2651e-02
outputs_000/output_0868  12337  1.75e+41  1.29e-03  1.12e+17  0.5        1.2626e-01
outputs_000/output_0870  10110  8.11e+41  2.48e-05  9.57e+16  0.5        3.0223e-01
outputs_000/output_0873  11470  6.41e+41  7.27e-03  1.47e+17  0.5        2.9667e-02
outputs_000/output_0874   8981  4.70e+41  6.09e-05  1.48e+17  0.5        2.5596e-01
outputs_000/output_0875   7878  5.24e+41  7.30e-02  1.28e+17  0.5        8.0622e-03
outputs_000/output_0876   6349  1.56e+41  1.26e-02  1.45e+17  1          1.1053e+00
outputs_000/output_0877   5750  9.78e+41  2.40e-05  1.11e+16  0.5        3.1781e-01
outputs_000/output_0878   7148  2.27e+40  1.53e-03  7.98e+16  1          1.3977e-01
outputs_000/output_0879   8110  9.64e+41  8.41e-02  1.90e+17  0          3.8129e-01
outputs_000/output_0881   7165  8.06e+41  2.33e-04  9.26e+16  0          1.6651e+00
outputs_000/output_0882   5216  6.07e+41  2.37e-04  9.73e+16  0.5        1.6064e+00
outputs_000/output_0883   9498  7.39e+41  1.55e-03  8.35e+16  0          5.8623e-03
outputs_000/output_0884   7935  2.30e+41  1.08e-05  8.73e+16  0          2.8192e+00
outputs_000/output_0885   5829  2.14e+41  4.81e-05  1.48e+17  0          4.7433e-02
outputs_000/output_0886  11421  5.82e+41  2.05e-04  6.97e+16  1          4.4046e+00
outputs_000/output_0887  10916  2.85e+41  7.08e-05  8.12e+16  1          1.1348e-01
outputs_000/output_0888  13725  7.09e+41  8.73e-03  1.69e+17  0          1.4790e-01
outputs_000/output_0889   5046  3.80e+41  1.86e-03  9.13e+16  0.5        1.4952e+00
outputs_000/output_0890  13177  3.05e+41  4.70e-04  1.82e+17  0.5        4.0668e+00
outputs_000/output_0891   5251  5.55e+41  1.81e-02  1.40e+17  0.5        5.0814e-03
outputs_000/output_0892   7374  6.63e+41  5.03e-05  1.41e+17  0          4.1329e-01
outputs_000/output_0893  12093  1.95e+41  4.66e-05  8.00e+16  0.5        1.4891e-02
outputs_000/output_0894   7217  2.87e+41  1.14e-03  1.85e+17  1          2.2036e-02
outputs_000/output_0895   7322  1.31e+41  3.75e-04  1.88e+17  1          3.5056e+00
outputs_000/output_0896   5520  8.01e+41  2.93e-02  1.94e+17  0          1.2963e-01
outputs_000/output_0897   9334  5.04e+41  7.80e-03  1.00e+17  1          3.6862e+00
outputs_000/output_0898  11936  8.14e+41  1.50e-03  1.99e+17  0          2.5186e+00
outputs_000/output_0899   9557  4.28e+40  7.87e-03  2.74e+16  0.5        3.5637e-02
outputs_000/output_0900   9004  1.41e+41  3.26e-02  3.22e+16  1          7.4691e-01
outputs_000/output_0901   8015  5.45e+41  1.31e-04  1.93e+16  1          2.7591e+00
outputs_000/output_0902  12233  2.27e+41  2.44e-03  9.98e+16  1          4.2203e-01
outputs_000/output_0903  11603  4.95e+40  6.10e-03  7.87e+16  1          4.4178e-01
outputs_000/output_0904   5404  2.13e+41  2.97e-04  1.26e+17  1          2.3235e+00
outputs_000/output_0905   5382  6.50e+41  3.54e-02  3.72e+16  0.5        8.0824e-02
outputs_000/output_0906   4085  8.13e+41  1.16e-04  1.62e+17  0          8.4104e-01
outputs_000/output_0907   6552  8.43e+41  6.14e-04  1.37e+16  1          1.1483e+00
outputs_000/output_0908  10274  7.73e+41  2.05e-03  2.00e+16  0          1.2772e-02
outputs_000/output_0909   9992  6.62e+41  5.46e-04  4.34e+16  0.5        1.1449e-02
outputs_000/output_0910   8990  2.85e+41  2.26e-03  1.08e+17  0.5        1.9494e-02
outputs_000/output_0911   6683  5.87e+41  8.70e-04  3.51e+16  0          6.8268e-01
outputs_000/output_0912   9405  7.07e+41  1.00e-03  1.95e+17  0.5        4.9158e-02
outputs_000/output_0913   5297  2.73e+41  7.38e-05  8.28e+16  0          2.8437e-02
outputs_000/output_0914   4138  7.10e+41  1.97e-05  1.86e+17  0          1.3417e+00
outputs_000/output_0915   8744  5.22e+41  8.04e-04  8.20e+16  0          5.6548e-01
outputs_000/output_0916  11834  3.43e+41  3.89e-05  1.23e+17  1          1.0419e+00
outputs_000/output_0917  11469  5.49e+41  5.15e-05  1.38e+16  1          1.8754e+00
outputs_000/output_0918  13360  2.75e+41  1.98e-05  1.37e+17  1          2.5907e-02
outputs_000/output_0919  13358  7.37e+41  5.11e-05  5.57e+16  0          8.5673e-03
outputs_000/output_0920   5361  5.54e+41  7.19e-03  1.66e+17  1          3.1351e-01
outputs_000/output_0921   8107  3.86e+41  1.35e-05  1.35e+17  1          1.5814e-01
outputs_000/output_0922  11314  7.37e+39  2.72e-02  1.76e+17  0          2.1099e-01
outputs_000/output_0923   7584  1.53e+40  9.32e-05  6.75e+16  0.5        1.0469e-01
outputs_000/output_0924   6720  9.34e+41  5.06e-05  2.15e+16  1          1.5530e-01
outputs_000/output_0925   8319  7.59e+41  1.70e-04  6.94e+16  0          5.3876e-03
outputs_000/output_0926   4843  8.29e+40  3.56e-02  1.93e+17  0          6.8342e-01
outputs_000/output_0927  12187  8.71e+41  1.02e-05  6.00e+16  0          2.3211e+00
outputs_000/output_0928   6829  4.25e+41  8.44e-03  1.99e+17  0.5        5.3485e-03
outputs_000/output_0929  10634  6.71e+39  1.92e-03  1.77e+17  1          8.6464e-03
outputs_000/output_0930  12814  5.00e+40  1.93e-03  1.21e+17  1          3.5573e-01
outputs_000/output_0931   5804  8.93e+41  9.95e-05  1.14e+17  1          2.9451e+00
outputs_000/output_0932   8127  7.76e+41  6.53e-05  1.22e+17  0.5        1.0347e-02
outputs_000/output_0933  11333  5.86e+41  1.72e-04  1.73e+17  1          1.1317e-01
outputs_000/output_0934   9814  5.33e+41  5.67e-05  1.36e+17  1          3.5560e-02
outputs_000/output_0935  12476  5.68e+41  1.63e-04  4.54e+16  1          2.3995e-02
outputs_000/output_0936   4436  2.59e+41  1.64e-03  3.98e+16  0          4.5100e-01
outputs_000/output_0937   9219  1.25e+41  3.82e-04  9.30e+16  1          2.1965e-01
outputs_000/output_0938   7793  9.20e+41  2.65e-03  1.95e+17  1          1.6281e-01
outputs_000/output_0939   9262  5.64e+41  6.01e-05  6.27e+16  0.5        8.7775e-03
outputs_000/output_0940  13338  5.06e+41  3.67e-03  4.05e+16  0          1.0788e-01
outputs_000/output_0941  13189  5.01e+41  7.75e-04  4.87e+16  0.5        2.8524e-02
outputs_000/output_0942   4655  2.02e+41  1.79e-04  1.44e+17  1          6.9537e-03
outputs_000/output_0943   9971  3.82e+41  4.80e-04  1.49e+17  0          3.8728e+00
outputs_000/output_0944  10683  9.38e+40  5.85e-04  1.72e+17  1          9.4331e-01
outputs_000/output_0945  12372  5.07e+41  6.52e-02  1.43e+17  0          8.9150e-02
outputs_000/output_0946   8209  1.82e+41  1.35e-02  9.99e+16  0          1.3996e+00
outputs_000/output_0947   7567  3.82e+41  4.88e-05  1.43e+17  0          1.9728e-02
